"description","comment","dueDate","categories","alarmDate","effortEstimate","remainingEffort","actualEffort","priority","earnedValue","subtasks","dreadFunValue","challenge","expiresOnDate","interuptTask","waitingAlarmDate","repeatRule","startedOnDate","status","hideUntilDate","startByDate","starred","importance","urgency","ownerList","ownerItem","taskInterrupted","taskDependsOn","template","source","waitingTillDate","dateWhenSetWaiting","completedDate","updatedAt","createdAt","edited","deletedDate"
"test1","","2021-01-01T22:50:19.946","Cat1","1970-01-01T01:00:00.000","01:00:00","01:00:00","02:00:00","9","0.0","DONE","","","1970-01-01T01:00:00.000","false","1970-01-01T01:00:00.000","RepRu=[01mbwy2O8A/vwsromrm]""Daily. Repeat forever. Create 2 future repeats""; DONE(8)= [[test1[IPKWnGK8lj/c84833mf] Done01/01/21 Due01/01/21 [DONE] subtasks(2)=*{sub4/t8UPxqItwS, sub5/dnmDiXRJn6}*, test1[VJxeOHKmbA/6ycw8pyz] Done01/01/21 Due03/01/21 [DONE] subtasks(2)=*{sub4/dL2Pqj7U6A, sub5/EKbN3jgyRp}*, test1[8SdflpWenX/3i9kqnem] Done01/01/21 Due04/01/21 [DONE] subtasks(2)=*{sub4/NTpEaiH8ty, sub5/HP7HNdbcrA}*, test1[vlJTjzTAO7/3nsmm0a9] Done01/01/21 Due05/01/21 [DONE] subtasks(2)=*{sub4/d6oocnWcUG, sub5/YBhlMxOWdI}*, test1[RVEHSBVE50/if8iupol] Due14/01/21 [DONE] subtasks(2)=*{sub4/UEeFs6Jhme, sub5/tGPa0yfIgT}*, test1[1NJ1ey4KQd/l4y2nfvp] Due15/01/21 [DONE] subtasks(2)=*{sub4/SyOavbBplg, s1/HztUgpvOSC}*, test1 TemplRepeat1[fnmgJrMhK1/zjwq3il4] Due21/01/21 [DONE] subtasks(5)=*{xx/k8K04piJM1, sub5/z4uLIwxcl1, SubRep1/tFRbPW9xLb, SubRep2/t4aB7W04ks, SubRep3/qZHA8tz2qJ}*, test1 TemplRepeat1[6lmrwBTcIW/nkq5veb9] Due22/01/21 [DONE] subtasks(5)=*{xx/giiPChlPcu, sub5/sVKW7RZd6v, SubRep1/ORRljD6sJY, SubRep2/0Kk3VgXOrG, SubRep3/ezVb3DABzY}*]]; UNDONE(2)= [[test1[krPAccslsD/bkgwzxjy] Due16/01/21 3h10 subtasks(2)=*{sub4/QTDUjy9PLD, s1/F237jcVK3x}*, test1 TemplRepeat1[dS1Za2uKD3/xll4ga45] Due17/01/21 1h05 subtasks(5)=*{xx/tu5eizvnCx, sub5/DdY7XIh7Yw, SubRep1/DQIx5rPu7U, SubRep2/5kSTbj57eH, SubRep3/vbAOcRnOJU}*]]","2021-01-01T22:50:29.416","Task is completed, no more work","","2021-01-01T22:25:00.000","false","High","","krmj40ga","","","","false","","","","2021-01-01T22:50:29.418","01/01/2021","2021-01-01T12:58:11.305","",""
"test1","","2021-01-14T22:50:19.946","Cat1","1970-01-01T01:00:00.000","01:28:00","01:48:00","01:00:00","9","0.0","DONE","","","1970-01-01T01:00:00.000","false","1970-01-01T01:00:00.000","RepRu=[01mbwy2O8A/vwsromrm]""Daily. Repeat forever. Create 2 future repeats""; DONE(8)= [[test1[IPKWnGK8lj/c84833mf] Done01/01/21 Due01/01/21 [DONE] subtasks(2)=*{sub4/t8UPxqItwS, sub5/dnmDiXRJn6}*, test1[VJxeOHKmbA/6ycw8pyz] Done01/01/21 Due03/01/21 [DONE] subtasks(2)=*{sub4/dL2Pqj7U6A, sub5/EKbN3jgyRp}*, test1[8SdflpWenX/3i9kqnem] Done01/01/21 Due04/01/21 [DONE] subtasks(2)=*{sub4/NTpEaiH8ty, sub5/HP7HNdbcrA}*, test1[vlJTjzTAO7/3nsmm0a9] Done01/01/21 Due05/01/21 [DONE] subtasks(2)=*{sub4/d6oocnWcUG, sub5/YBhlMxOWdI}*, test1[RVEHSBVE50/if8iupol] Due14/01/21 [DONE] subtasks(2)=*{sub4/UEeFs6Jhme, sub5/tGPa0yfIgT}*, test1[1NJ1ey4KQd/l4y2nfvp] Due15/01/21 [DONE] subtasks(2)=*{sub4/SyOavbBplg, s1/HztUgpvOSC}*, test1 TemplRepeat1[fnmgJrMhK1/zjwq3il4] Due21/01/21 [DONE] subtasks(5)=*{xx/k8K04piJM1, sub5/z4uLIwxcl1, SubRep1/tFRbPW9xLb, SubRep2/t4aB7W04ks, SubRep3/qZHA8tz2qJ}*, test1 TemplRepeat1[6lmrwBTcIW/nkq5veb9] Due22/01/21 [DONE] subtasks(5)=*{xx/giiPChlPcu, sub5/sVKW7RZd6v, SubRep1/ORRljD6sJY, SubRep2/0Kk3VgXOrG, SubRep3/ezVb3DABzY}*]]; UNDONE(2)= [[test1[krPAccslsD/bkgwzxjy] Due16/01/21 3h10 subtasks(2)=*{sub4/QTDUjy9PLD, s1/F237jcVK3x}*, test1 TemplRepeat1[dS1Za2uKD3/xll4ga45] Due17/01/21 1h05 subtasks(5)=*{xx/tu5eizvnCx, sub5/DdY7XIh7Yw, SubRep1/DQIx5rPu7U, SubRep2/5kSTbj57eH, SubRep3/vbAOcRnOJU}*]]","","Task is completed, no more work","","2021-01-02T22:25:00.000","false","High","","krmj40ga","","","","false","c84833mf","","","","16/01/2021","2021-01-01T22:50:21.337","2021-01-16T21:17:30.021",""
"test1","","2021-01-03T22:50:19.946","Cat1","1970-01-01T01:00:00.000","01:00:00","02:00:00","02:00:00","9","0.0","DONE","","","1970-01-01T01:00:00.000","false","1970-01-01T01:00:00.000","RepRu=[01mbwy2O8A/vwsromrm]""Daily. Repeat forever. Create 2 future repeats""; DONE(8)= [[test1[IPKWnGK8lj/c84833mf] Done01/01/21 Due01/01/21 [DONE] subtasks(2)=*{sub4/t8UPxqItwS, sub5/dnmDiXRJn6}*, test1[VJxeOHKmbA/6ycw8pyz] Done01/01/21 Due03/01/21 [DONE] subtasks(2)=*{sub4/dL2Pqj7U6A, sub5/EKbN3jgyRp}*, test1[8SdflpWenX/3i9kqnem] Done01/01/21 Due04/01/21 [DONE] subtasks(2)=*{sub4/NTpEaiH8ty, sub5/HP7HNdbcrA}*, test1[vlJTjzTAO7/3nsmm0a9] Done01/01/21 Due05/01/21 [DONE] subtasks(2)=*{sub4/d6oocnWcUG, sub5/YBhlMxOWdI}*, test1[RVEHSBVE50/if8iupol] Due14/01/21 [DONE] subtasks(2)=*{sub4/UEeFs6Jhme, sub5/tGPa0yfIgT}*, test1[1NJ1ey4KQd/l4y2nfvp] Due15/01/21 [DONE] subtasks(2)=*{sub4/SyOavbBplg, s1/HztUgpvOSC}*, test1 TemplRepeat1[fnmgJrMhK1/zjwq3il4] Due21/01/21 [DONE] subtasks(5)=*{xx/k8K04piJM1, sub5/z4uLIwxcl1, SubRep1/tFRbPW9xLb, SubRep2/t4aB7W04ks, SubRep3/qZHA8tz2qJ}*, test1 TemplRepeat1[6lmrwBTcIW/nkq5veb9] Due22/01/21 [DONE] subtasks(5)=*{xx/giiPChlPcu, sub5/sVKW7RZd6v, SubRep1/ORRljD6sJY, SubRep2/0Kk3VgXOrG, SubRep3/ezVb3DABzY}*]]; UNDONE(2)= [[test1[krPAccslsD/bkgwzxjy] Due16/01/21 3h10 subtasks(2)=*{sub4/QTDUjy9PLD, s1/F237jcVK3x}*, test1 TemplRepeat1[dS1Za2uKD3/xll4ga45] Due17/01/21 1h05 subtasks(5)=*{xx/tu5eizvnCx, sub5/DdY7XIh7Yw, SubRep1/DQIx5rPu7U, SubRep2/5kSTbj57eH, SubRep3/vbAOcRnOJU}*]]","2021-01-01T22:50:38.013","Task is completed, no more work","","2021-01-03T22:25:00.000","false","High","","krmj40ga","","","","false","c84833mf","","","2021-01-01T22:50:38.013","01/01/2021","2021-01-01T22:50:29.439","",""
"test1","","2021-01-04T22:50:19.946","Cat1","1970-01-01T01:00:00.000","01:32:00","01:32:00","01:00:00","9","0.0","DONE","","","1970-01-01T01:00:00.000","false","1970-01-01T01:00:00.000","RepRu=[01mbwy2O8A/vwsromrm]""Daily. Repeat forever. Create 2 future repeats""; DONE(8)= [[test1[IPKWnGK8lj/c84833mf] Done01/01/21 Due01/01/21 [DONE] subtasks(2)=*{sub4/t8UPxqItwS, sub5/dnmDiXRJn6}*, test1[VJxeOHKmbA/6ycw8pyz] Done01/01/21 Due03/01/21 [DONE] subtasks(2)=*{sub4/dL2Pqj7U6A, sub5/EKbN3jgyRp}*, test1[8SdflpWenX/3i9kqnem] Done01/01/21 Due04/01/21 [DONE] subtasks(2)=*{sub4/NTpEaiH8ty, sub5/HP7HNdbcrA}*, test1[vlJTjzTAO7/3nsmm0a9] Done01/01/21 Due05/01/21 [DONE] subtasks(2)=*{sub4/d6oocnWcUG, sub5/YBhlMxOWdI}*, test1[RVEHSBVE50/if8iupol] Due14/01/21 [DONE] subtasks(2)=*{sub4/UEeFs6Jhme, sub5/tGPa0yfIgT}*, test1[1NJ1ey4KQd/l4y2nfvp] Due15/01/21 [DONE] subtasks(2)=*{sub4/SyOavbBplg, s1/HztUgpvOSC}*, test1 TemplRepeat1[fnmgJrMhK1/zjwq3il4] Due21/01/21 [DONE] subtasks(5)=*{xx/k8K04piJM1, sub5/z4uLIwxcl1, SubRep1/tFRbPW9xLb, SubRep2/t4aB7W04ks, SubRep3/qZHA8tz2qJ}*, test1 TemplRepeat1[6lmrwBTcIW/nkq5veb9] Due22/01/21 [DONE] subtasks(5)=*{xx/giiPChlPcu, sub5/sVKW7RZd6v, SubRep1/ORRljD6sJY, SubRep2/0Kk3VgXOrG, SubRep3/ezVb3DABzY}*]]; UNDONE(2)= [[test1[krPAccslsD/bkgwzxjy] Due16/01/21 3h10 subtasks(2)=*{sub4/QTDUjy9PLD, s1/F237jcVK3x}*, test1 TemplRepeat1[dS1Za2uKD3/xll4ga45] Due17/01/21 1h05 subtasks(5)=*{xx/tu5eizvnCx, sub5/DdY7XIh7Yw, SubRep1/DQIx5rPu7U, SubRep2/5kSTbj57eH, SubRep3/vbAOcRnOJU}*]]","2021-01-01T22:55:06.151","Task is completed, no more work","","2021-01-04T22:25:00.000","false","High","","krmj40ga","","","","false","6ycw8pyz","","","2021-01-01T22:55:06.152","01/01/2021","2021-01-01T22:50:38.025","",""
"test1","","2021-01-05T22:50:19.946","Cat1","1970-01-01T01:00:00.000","01:10:00","01:20:00","01:00:00","9","0.0","DONE","","","1970-01-01T01:00:00.000","false","1970-01-01T01:00:00.000","RepRu=[01mbwy2O8A/vwsromrm]""Daily. Repeat forever. Create 2 future repeats""; DONE(8)= [[test1[IPKWnGK8lj/c84833mf] Done01/01/21 Due01/01/21 [DONE] subtasks(2)=*{sub4/t8UPxqItwS, sub5/dnmDiXRJn6}*, test1[VJxeOHKmbA/6ycw8pyz] Done01/01/21 Due03/01/21 [DONE] subtasks(2)=*{sub4/dL2Pqj7U6A, sub5/EKbN3jgyRp}*, test1[8SdflpWenX/3i9kqnem] Done01/01/21 Due04/01/21 [DONE] subtasks(2)=*{sub4/NTpEaiH8ty, sub5/HP7HNdbcrA}*, test1[vlJTjzTAO7/3nsmm0a9] Done01/01/21 Due05/01/21 [DONE] subtasks(2)=*{sub4/d6oocnWcUG, sub5/YBhlMxOWdI}*, test1[RVEHSBVE50/if8iupol] Due14/01/21 [DONE] subtasks(2)=*{sub4/UEeFs6Jhme, sub5/tGPa0yfIgT}*, test1[1NJ1ey4KQd/l4y2nfvp] Due15/01/21 [DONE] subtasks(2)=*{sub4/SyOavbBplg, s1/HztUgpvOSC}*, test1 TemplRepeat1[fnmgJrMhK1/zjwq3il4] Due21/01/21 [DONE] subtasks(5)=*{xx/k8K04piJM1, sub5/z4uLIwxcl1, SubRep1/tFRbPW9xLb, SubRep2/t4aB7W04ks, SubRep3/qZHA8tz2qJ}*, test1 TemplRepeat1[6lmrwBTcIW/nkq5veb9] Due22/01/21 [DONE] subtasks(5)=*{xx/giiPChlPcu, sub5/sVKW7RZd6v, SubRep1/ORRljD6sJY, SubRep2/0Kk3VgXOrG, SubRep3/ezVb3DABzY}*]]; UNDONE(2)= [[test1[krPAccslsD/bkgwzxjy] Due16/01/21 3h10 subtasks(2)=*{sub4/QTDUjy9PLD, s1/F237jcVK3x}*, test1 TemplRepeat1[dS1Za2uKD3/xll4ga45] Due17/01/21 1h05 subtasks(5)=*{xx/tu5eizvnCx, sub5/DdY7XIh7Yw, SubRep1/DQIx5rPu7U, SubRep2/5kSTbj57eH, SubRep3/vbAOcRnOJU}*]]","2021-01-01T22:56:39.164","Task is completed, no more work","","2021-01-05T22:25:00.000","false","High","","krmj40ga","","","","false","3i9kqnem","","","2021-01-01T22:56:39.164","29/01/2021","2021-01-01T22:55:51.143","",""
"test1 TemplRepeat1","","2021-01-21T22:50:19.946","Cat1, Cat2","2021-01-06T21:50:19.946","01:29:00","01:42:00","01:00:00","9","0.0","DONE","","","1970-01-01T01:00:00.000","false","1970-01-01T01:00:00.000","RepRu=[01mbwy2O8A/vwsromrm]""Daily. Repeat forever. Create 2 future repeats""; DONE(8)= [[test1[IPKWnGK8lj/c84833mf] Done01/01/21 Due01/01/21 [DONE] subtasks(2)=*{sub4/t8UPxqItwS, sub5/dnmDiXRJn6}*, test1[VJxeOHKmbA/6ycw8pyz] Done01/01/21 Due03/01/21 [DONE] subtasks(2)=*{sub4/dL2Pqj7U6A, sub5/EKbN3jgyRp}*, test1[8SdflpWenX/3i9kqnem] Done01/01/21 Due04/01/21 [DONE] subtasks(2)=*{sub4/NTpEaiH8ty, sub5/HP7HNdbcrA}*, test1[vlJTjzTAO7/3nsmm0a9] Done01/01/21 Due05/01/21 [DONE] subtasks(2)=*{sub4/d6oocnWcUG, sub5/YBhlMxOWdI}*, test1[RVEHSBVE50/if8iupol] Due14/01/21 [DONE] subtasks(2)=*{sub4/UEeFs6Jhme, sub5/tGPa0yfIgT}*, test1[1NJ1ey4KQd/l4y2nfvp] Due15/01/21 [DONE] subtasks(2)=*{sub4/SyOavbBplg, s1/HztUgpvOSC}*, test1 TemplRepeat1[fnmgJrMhK1/zjwq3il4] Due21/01/21 [DONE] subtasks(5)=*{xx/k8K04piJM1, sub5/z4uLIwxcl1, SubRep1/tFRbPW9xLb, SubRep2/t4aB7W04ks, SubRep3/qZHA8tz2qJ}*, test1 TemplRepeat1[6lmrwBTcIW/nkq5veb9] Due22/01/21 [DONE] subtasks(5)=*{xx/giiPChlPcu, sub5/sVKW7RZd6v, SubRep1/ORRljD6sJY, SubRep2/0Kk3VgXOrG, SubRep3/ezVb3DABzY}*]]; UNDONE(2)= [[test1[krPAccslsD/bkgwzxjy] Due16/01/21 3h10 subtasks(2)=*{sub4/QTDUjy9PLD, s1/F237jcVK3x}*, test1 TemplRepeat1[dS1Za2uKD3/xll4ga45] Due17/01/21 1h05 subtasks(5)=*{xx/tu5eizvnCx, sub5/DdY7XIh7Yw, SubRep1/DQIx5rPu7U, SubRep2/5kSTbj57eH, SubRep3/vbAOcRnOJU}*]]","","Task is completed, no more work","","2021-01-06T22:25:00.000","false","High","","krmj40ga","","","","false","3nsmm0a9","","","","01/03/2021","2021-01-01T22:56:42.313","2021-03-01T21:57:25.398",""
"sub4","","2021-01-05T22:50:19.946","Cat1, Cat2","1970-01-01T01:00:00.000","01:09:00","01:09:00","02:00:00","9","0.0","DONE","","","1970-01-01T01:00:00.000","false","1970-01-01T01:00:00.000","","2021-01-01T22:56:39.164","Task is completed, no more work","","2021-01-05T22:25:00.000","false","High","","","3nsmm0a9","","","false","xr8i5wmy","","","2021-01-01T22:56:42.305","29/01/2021","2021-01-01T22:55:51.143","2021-01-29T22:58:38.723",""
"test1","","2021-01-15T22:50:19.946","Cat1","1970-01-01T01:00:00.000","03:10:00","05:20:00","02:00:00","9","0.0","DONE","","","1970-01-01T01:00:00.000","false","1970-01-01T01:00:00.000","RepRu=[01mbwy2O8A/vwsromrm]""Daily. Repeat forever. Create 2 future repeats""; DONE(8)= [[test1[IPKWnGK8lj/c84833mf] Done01/01/21 Due01/01/21 [DONE] subtasks(2)=*{sub4/t8UPxqItwS, sub5/dnmDiXRJn6}*, test1[VJxeOHKmbA/6ycw8pyz] Done01/01/21 Due03/01/21 [DONE] subtasks(2)=*{sub4/dL2Pqj7U6A, sub5/EKbN3jgyRp}*, test1[8SdflpWenX/3i9kqnem] Done01/01/21 Due04/01/21 [DONE] subtasks(2)=*{sub4/NTpEaiH8ty, sub5/HP7HNdbcrA}*, test1[vlJTjzTAO7/3nsmm0a9] Done01/01/21 Due05/01/21 [DONE] subtasks(2)=*{sub4/d6oocnWcUG, sub5/YBhlMxOWdI}*, test1[RVEHSBVE50/if8iupol] Due14/01/21 [DONE] subtasks(2)=*{sub4/UEeFs6Jhme, sub5/tGPa0yfIgT}*, test1[1NJ1ey4KQd/l4y2nfvp] Due15/01/21 [DONE] subtasks(2)=*{sub4/SyOavbBplg, s1/HztUgpvOSC}*, test1 TemplRepeat1[fnmgJrMhK1/zjwq3il4] Due21/01/21 [DONE] subtasks(5)=*{xx/k8K04piJM1, sub5/z4uLIwxcl1, SubRep1/tFRbPW9xLb, SubRep2/t4aB7W04ks, SubRep3/qZHA8tz2qJ}*, test1 TemplRepeat1[6lmrwBTcIW/nkq5veb9] Due22/01/21 [DONE] subtasks(5)=*{xx/giiPChlPcu, sub5/sVKW7RZd6v, SubRep1/ORRljD6sJY, SubRep2/0Kk3VgXOrG, SubRep3/ezVb3DABzY}*]]; UNDONE(2)= [[test1[krPAccslsD/bkgwzxjy] Due16/01/21 3h10 subtasks(2)=*{sub4/QTDUjy9PLD, s1/F237jcVK3x}*, test1 TemplRepeat1[dS1Za2uKD3/xll4ga45] Due17/01/21 1h05 subtasks(5)=*{xx/tu5eizvnCx, sub5/DdY7XIh7Yw, SubRep1/DQIx5rPu7U, SubRep2/5kSTbj57eH, SubRep3/vbAOcRnOJU}*]]","","Task is completed, no more work","","2021-01-03T22:25:00.000","false","High","","krmj40ga","","","","false","if8iupol","","","","16/01/2021","2021-01-16T21:17:30.164","2021-01-16T21:29:09.762",""
"test1 TemplRepeat1","","2021-01-17T22:50:19.946","Cat1, Cat2","2021-01-02T21:50:19.946","01:32:52","02:05:45","01:00:00","9","0.0","CREATED","","","1970-01-01T01:00:00.000","false","1970-01-01T01:00:00.000","RepRu=[01mbwy2O8A/vwsromrm]""Daily. Repeat forever. Create 2 future repeats""; DONE(8)= [[test1[IPKWnGK8lj/c84833mf] Done01/01/21 Due01/01/21 [DONE] subtasks(2)=*{sub4/t8UPxqItwS, sub5/dnmDiXRJn6}*, test1[VJxeOHKmbA/6ycw8pyz] Done01/01/21 Due03/01/21 [DONE] subtasks(2)=*{sub4/dL2Pqj7U6A, sub5/EKbN3jgyRp}*, test1[8SdflpWenX/3i9kqnem] Done01/01/21 Due04/01/21 [DONE] subtasks(2)=*{sub4/NTpEaiH8ty, sub5/HP7HNdbcrA}*, test1[vlJTjzTAO7/3nsmm0a9] Done01/01/21 Due05/01/21 [DONE] subtasks(2)=*{sub4/d6oocnWcUG, sub5/YBhlMxOWdI}*, test1[RVEHSBVE50/if8iupol] Due14/01/21 [DONE] subtasks(2)=*{sub4/UEeFs6Jhme, sub5/tGPa0yfIgT}*, test1[1NJ1ey4KQd/l4y2nfvp] Due15/01/21 [DONE] subtasks(2)=*{sub4/SyOavbBplg, s1/HztUgpvOSC}*, test1 TemplRepeat1[fnmgJrMhK1/zjwq3il4] Due21/01/21 [DONE] subtasks(5)=*{xx/k8K04piJM1, sub5/z4uLIwxcl1, SubRep1/tFRbPW9xLb, SubRep2/t4aB7W04ks, SubRep3/qZHA8tz2qJ}*, test1 TemplRepeat1[6lmrwBTcIW/nkq5veb9] Due22/01/21 [DONE] subtasks(5)=*{xx/giiPChlPcu, sub5/sVKW7RZd6v, SubRep1/ORRljD6sJY, SubRep2/0Kk3VgXOrG, SubRep3/ezVb3DABzY}*]]; UNDONE(2)= [[test1[krPAccslsD/bkgwzxjy] Due16/01/21 3h10 subtasks(2)=*{sub4/QTDUjy9PLD, s1/F237jcVK3x}*, test1 TemplRepeat1[dS1Za2uKD3/xll4ga45] Due17/01/21 1h05 subtasks(5)=*{xx/tu5eizvnCx, sub5/DdY7XIh7Yw, SubRep1/DQIx5rPu7U, SubRep2/5kSTbj57eH, SubRep3/vbAOcRnOJU}*]]","","New task","","2021-01-02T22:25:00.000","false","High","","krmj40ga","","","","false","nkq5veb9","","","","01/03/2021","2021-02-15T23:43:55.893","2021-03-01T21:43:29.166",""
"test1","","2021-01-16T22:50:19.946","Cat1","1970-01-01T01:00:00.000","03:10:00","04:10:00","01:00:00","9","0.0","CREATED","","","1970-01-01T01:00:00.000","false","1970-01-01T01:00:00.000","RepRu=[01mbwy2O8A/vwsromrm]""Daily. Repeat forever. Create 2 future repeats""; DONE(8)= [[test1[IPKWnGK8lj/c84833mf] Done01/01/21 Due01/01/21 [DONE] subtasks(2)=*{sub4/t8UPxqItwS, sub5/dnmDiXRJn6}*, test1[VJxeOHKmbA/6ycw8pyz] Done01/01/21 Due03/01/21 [DONE] subtasks(2)=*{sub4/dL2Pqj7U6A, sub5/EKbN3jgyRp}*, test1[8SdflpWenX/3i9kqnem] Done01/01/21 Due04/01/21 [DONE] subtasks(2)=*{sub4/NTpEaiH8ty, sub5/HP7HNdbcrA}*, test1[vlJTjzTAO7/3nsmm0a9] Done01/01/21 Due05/01/21 [DONE] subtasks(2)=*{sub4/d6oocnWcUG, sub5/YBhlMxOWdI}*, test1[RVEHSBVE50/if8iupol] Due14/01/21 [DONE] subtasks(2)=*{sub4/UEeFs6Jhme, sub5/tGPa0yfIgT}*, test1[1NJ1ey4KQd/l4y2nfvp] Due15/01/21 [DONE] subtasks(2)=*{sub4/SyOavbBplg, s1/HztUgpvOSC}*, test1 TemplRepeat1[fnmgJrMhK1/zjwq3il4] Due21/01/21 [DONE] subtasks(5)=*{xx/k8K04piJM1, sub5/z4uLIwxcl1, SubRep1/tFRbPW9xLb, SubRep2/t4aB7W04ks, SubRep3/qZHA8tz2qJ}*, test1 TemplRepeat1[6lmrwBTcIW/nkq5veb9] Due22/01/21 [DONE] subtasks(5)=*{xx/giiPChlPcu, sub5/sVKW7RZd6v, SubRep1/ORRljD6sJY, SubRep2/0Kk3VgXOrG, SubRep3/ezVb3DABzY}*]]; UNDONE(2)= [[test1[krPAccslsD/bkgwzxjy] Due16/01/21 3h10 subtasks(2)=*{sub4/QTDUjy9PLD, s1/F237jcVK3x}*, test1 TemplRepeat1[dS1Za2uKD3/xll4ga45] Due17/01/21 1h05 subtasks(5)=*{xx/tu5eizvnCx, sub5/DdY7XIh7Yw, SubRep1/DQIx5rPu7U, SubRep2/5kSTbj57eH, SubRep3/vbAOcRnOJU}*]]","","New task","","2021-01-04T22:25:00.000","false","High","","krmj40ga","","","","false","l4y2nfvp","","","","27/02/2021","2021-01-16T21:29:09.889","",""
